pop,sec,cadad.cainf,cal.gcalbar,can.gcanbar,cat.gcatbar,ih.gbar,kBK.gpeak,kap.gbar,kdmc.gbar,kdr.gbar,nax.gbar,pas.g
ITS4,Bdend,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,0.00014147647761414165
ITS4,soma,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.06,0.12,6e-05
ITP4,Adend1,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
ITP4,Adend2,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
ITP4,Adend3,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
ITP4,Bdend,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,0.00014147647761414165
ITP4,axon,,,,,,,0.120097619549,,0.0416883317404,0.384126851097,0.00035435694659685776
ITP4,soma,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.02,0.07,6e-05
IT5A,Adend1,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.00501206206504,0.146326621958,2.068954962610324e-05
IT5A,Adend2,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.00501206206504,0.146326621958,2.068954962610324e-05
IT5A,Adend3,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.00501206206504,0.146326621958,2.068954962610324e-05
IT5A,Bdend,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.00501206206504,0.146326621958,8.5005383721367e-05
IT5A,axon,,,,,,,1.5337607377099998,,0.025060310325199998,0.73163310979,0.00032045160242059065
IT5A,soma,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.0091,0.2,3e-05
CT5A,Adend1,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
CT5A,Adend2,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
CT5A,Adend3,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
CT5A,Bdend,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,0.00014147647761414165
CT5A,axon,,,,,,,0.120097619549,,0.0416883317404,0.384126851097,0.00035435694659685776
CT5A,soma,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.013,0.15,0.00013
IT5B,Adend1,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.00501206206504,0.146326621958,2.068954962610324e-05
IT5B,Adend2,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.00501206206504,0.146326621958,2.068954962610324e-05
IT5B,Adend3,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.00501206206504,0.146326621958,2.068954962610324e-05
IT5B,Bdend,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.00501206206504,0.146326621958,8.5005383721367e-05
IT5B,axon,,,,,,,1.5337607377099998,,0.025060310325199998,0.73163310979,0.00032045160242059065
IT5B,soma,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.0097,0.2,3.4e-05
CT5B,Adend1,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
CT5B,Adend2,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
CT5B,Adend3,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
CT5B,Bdend,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,0.00014147647761414165
CT5B,axon,,,,,,,0.120097619549,,0.0416883317404,0.384126851097,0.00035435694659685776
